TO,LH,RH,LK,RK,LA,RA
606.66,445.00,592.96,312.00,712.00,0.00,0.00
606.44,445.00,592.70,312.00,712.00,0.00,0.00
606.23,445.00,592.43,312.00,712.00,0.00,0.00
606.02,445.00,592.18,312.00,712.00,0.00,0.00
605.81,445.00,591.92,312.00,712.00,0.00,0.00
605.60,445.00,591.67,312.00,712.00,0.00,0.00
605.40,445.00,591.43,312.00,712.00,0.00,0.00
605.19,445.00,591.18,312.00,712.00,0.00,0.00
604.99,445.00,590.94,312.00,712.00,0.00,0.00
604.79,445.00,590.71,312.00,712.00,0.00,0.00
604.59,445.00,590.48,312.00,712.00,0.00,0.00
604.40,445.00,590.25,312.00,712.00,0.00,0.00
604.20,445.00,590.02,312.00,712.00,0.00,0.00
604.01,445.00,589.80,312.00,712.00,0.00,0.00
603.82,445.00,589.58,312.00,712.00,0.00,0.00
603.63,445.00,589.37,312.00,712.00,0.00,0.00
603.44,445.00,589.15,312.00,712.00,0.00,0.00
603.26,445.00,588.94,312.00,712.00,0.00,0.00
603.07,445.00,588.74,312.00,712.00,0.00,0.00
602.89,445.00,588.54,312.00,712.00,0.00,0.00
602.71,445.00,588.34,312.00,712.00,0.00,0.00
602.53,445.00,588.14,312.00,712.00,0.00,0.00
602.35,445.00,587.95,312.00,712.00,0.00,0.00
602.17,445.00,587.76,312.00,712.00,0.00,0.00
602.00,445.00,587.57,312.00,712.00,0.00,0.00
601.83,445.00,587.39,312.00,712.00,0.00,0.00
601.65,445.00,587.20,312.00,712.00,0.00,0.00
601.48,445.00,587.03,312.00,712.00,0.00,0.00
601.32,445.00,586.85,312.00,712.00,0.00,0.00
601.15,445.00,586.68,312.00,712.00,0.00,0.00
600.98,445.00,586.51,312.00,712.00,0.00,0.00
600.82,445.00,586.34,312.00,712.00,0.00,0.00
600.66,445.00,586.18,312.00,712.00,0.00,0.00
600.49,445.00,586.01,312.00,712.00,0.00,0.00
600.34,445.00,585.85,312.00,712.00,0.00,0.00
600.18,445.00,585.70,312.00,712.00,0.00,0.00
600.02,445.00,585.54,312.00,712.00,0.00,0.00
599.86,445.00,585.39,312.00,712.00,0.00,0.00
599.71,445.00,585.24,312.00,712.00,0.00,0.00
599.56,445.00,585.10,312.00,712.00,0.00,0.00
599.41,445.00,584.95,312.00,712.00,0.00,0.00
599.26,445.00,584.81,312.00,712.00,0.00,0.00
599.11,445.00,584.67,312.00,712.00,0.00,0.00
598.96,445.00,584.53,312.00,712.00,0.00,0.00
598.82,445.00,584.40,312.00,712.00,0.00,0.00
598.67,445.00,584.27,312.00,712.00,0.00,0.00
598.53,445.00,584.14,312.00,712.00,0.00,0.00
598.39,445.00,584.01,312.00,712.00,0.00,0.00
598.24,445.00,583.88,312.00,712.00,0.00,0.00
598.11,445.00,583.76,312.00,712.00,0.00,0.00
597.97,445.00,583.64,312.00,712.00,0.00,0.00
597.83,445.00,583.52,312.00,712.00,0.00,0.00
597.69,445.00,583.40,312.00,712.00,0.00,0.00
597.56,445.00,583.29,312.00,712.00,0.00,0.00
597.43,445.00,583.18,312.00,712.00,0.00,0.00
597.29,445.00,583.07,312.00,712.00,0.00,0.00
597.16,445.00,582.96,312.00,712.00,0.00,0.00
597.03,445.00,582.85,312.00,712.00,0.00,0.00
596.91,445.00,582.75,312.00,712.00,0.00,0.00
596.78,445.00,582.64,312.00,712.00,0.00,0.00
596.65,445.00,582.54,312.00,712.00,0.00,0.00
596.53,445.00,582.44,312.00,712.00,0.00,0.00
596.40,445.00,582.35,312.00,712.00,0.00,0.00
596.28,445.00,582.25,312.00,712.00,0.00,0.00
596.16,445.00,582.16,312.00,712.00,0.00,0.00
596.04,445.00,582.07,312.00,712.00,0.00,0.00
595.92,445.00,581.98,312.00,712.00,0.00,0.00
595.80,445.00,581.89,312.00,712.00,0.00,0.00
595.68,445.00,581.80,312.00,712.00,0.00,0.00
595.56,445.00,581.72,312.00,712.00,0.00,0.00
595.45,445.00,581.64,312.00,712.00,0.00,0.00
595.33,445.00,581.56,312.00,712.00,0.00,0.00
595.22,445.00,581.48,312.00,712.00,0.00,0.00
595.11,445.00,581.40,312.00,712.00,0.00,0.00
